#BGC_Name,Family Number,substring,file_name,Chromophore,OHHis,Salicylate,OHAsp,Ambiguous,Catechol,Dmaq,Graminine,Hydroxamate,Sum
NC_003318.1.region001,151,GCF_000007125,NC_003318.1.region001.gbk,0,0,0,0,1,1,0,0,0,2
NC_004193.1.region003,152,GCF_000011245,NC_004193.1.region003.gbk,0,0,0,0,0,1,0,0,0,1
NC_006370.1.region003,157,GCF_000196255,NC_006370.1.region003.gbk,0,0,1,0,0,0,0,0,0,1
NC_006371.1.region003,158,GCF_000196255,NC_006371.1.region003.gbk,0,0,0,0,0,1,0,0,0,1
NC_007645.1.region012,162,GCF_000012985,NC_007645.1.region012.gbk,0,0,0,0,0,1,0,0,0,1
NC_007912.1.region004,166,GCF_000013665,NC_007912.1.region004.gbk,0,0,0,0,0,1,0,0,0,1
NC_008027.1.region012,169,GCF_000026105,NC_008027.1.region012.gbk,1,1,0,0,0,0,0,0,1,3
NC_008278.1.region018,173,GCF_000058485,NC_008278.1.region018.gbk,0,0,1,0,0,0,0,0,0,1
NC_009142.1.region011,180,GCF_000062885,NC_009142.1.region011.gbk,0,0,1,0,0,0,0,0,0,1
NC_009926.1.region001,189,GCF_000018105,NC_009926.1.region001.gbk,0,0,1,0,0,0,1,0,0,2
NC_010162.1.region015,191,GCF_000067165,NC_010162.1.region015.gbk,0,0,0,0,0,1,0,0,0,1
NC_010546.1.region003,196,GCF_000017845,NC_010546.1.region003.gbk,0,0,0,0,0,0,1,0,0,1
NC_010628.1.region014,198,GCF_000020025,NC_010628.1.region014.gbk,0,0,0,1,0,0,0,0,0,1
NC_010995.1.region002,200,GCF_000019225,NC_010995.1.region002.gbk,1,0,0,1,0,0,0,0,1,3
NC_011726.1.region007,203,GCF_000021805,NC_011726.1.region007.gbk,0,0,0,1,0,0,0,0,0,1
NC_011738.1.region001,204,GCF_000021825,NC_011738.1.region001.gbk,0,0,0,1,0,0,0,0,0,1
NC_011883.1.region003,208,GCF_000022125,NC_011883.1.region003.gbk,0,0,1,0,0,0,0,0,0,1
NC_012489.1.region003,209,GCF_000010305,NC_012489.1.region003.gbk,0,0,0,0,0,1,0,0,0,1
NC_012522.1.region009,210,GCF_000010805,NC_012522.1.region009.gbk,0,0,1,0,0,0,0,0,1,2
NC_013216.1.region008,218,GCF_000024205,NC_013216.1.region008.gbk,0,0,1,0,0,0,0,0,0,1
NC_013440.1.region014,219,GCF_000024805,NC_013440.1.region014.gbk,0,0,0,0,0,1,0,0,0,1
NC_013441.1.region002,220,GCF_000024785,NC_013441.1.region002.gbk,0,0,1,0,0,0,0,0,1,2
NC_013510.1.region001,221,GCF_000024385,NC_013510.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NC_013855.1.region003,223,GCF_000010725,NC_013855.1.region003.gbk,0,0,0,1,0,0,0,0,0,1
NC_013929.1.region001,224,GCF_000091305,NC_013929.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NC_013960.1.region003,227,GCF_000024725,NC_013960.1.region003.gbk,0,0,0,0,0,0,0,0,1,1
NC_014168.1.region004,230,GCF_000092825,NC_014168.1.region004.gbk,0,0,0,0,0,0,0,0,1,1
NC_014210.1.region002,231,GCF_000092985,NC_014210.1.region002.gbk,0,0,0,0,0,1,0,0,0,1
NC_014532.2.region003,234,GCF_000196875,NC_014532.2.region003.gbk,0,0,0,0,1,1,0,0,0,2
NC_014550.1.region008,236,GCF_000197735,NC_014550.1.region008.gbk,0,0,0,0,0,1,0,0,1,2
NC_014623.1.region020,239,GCF_000165485,NC_014623.1.region020.gbk,0,0,0,0,0,1,0,0,0,1
NC_014640.1.region005,240,GCF_000165835,NC_014640.1.region005.gbk,0,0,0,1,0,0,0,0,1,2
NC_014931.1.region007,244,GCF_000184745,NC_014931.1.region007.gbk,0,0,0,0,0,0,0,0,1,1
NC_015138.1.region006,245,GCF_000176855,NC_015138.1.region006.gbk,0,0,0,1,0,0,0,0,1,2
NC_015276.1.region002,246,GCF_000192865,NC_015276.1.region002.gbk,0,0,0,1,0,0,0,0,0,1
NC_015276.1.region007,247,GCF_000192865,NC_015276.1.region007.gbk,0,0,0,0,1,0,0,0,0,1
NC_015312.1.region002,248,GCF_000196675,NC_015312.1.region002.gbk,0,0,0,0,0,0,0,0,1,1
NC_015559.1.region002,249,GCF_000214215,NC_015559.1.region002.gbk,0,0,0,0,0,1,0,0,0,1
NC_015559.1.region004,250,GCF_000214215,NC_015559.1.region004.gbk,0,0,1,0,0,0,0,0,1,2
NC_015564.1.region001,251,GCF_000214175,NC_015564.1.region001.gbk,0,0,0,0,0,1,0,0,1,2
NC_015635.1.region003,252,GCF_000270245,NC_015635.1.region003.gbk,0,0,0,0,0,1,0,0,0,1
NC_016586.1.region001,260,GCF_000283655,NC_016586.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NC_017966.1.region001,270,GCF_000264455,NC_017966.1.region001.gbk,0,0,0,0,0,0,0,1,1,2
NC_018681.1.region040,275,GCF_000250675,NC_018681.1.region040.gbk,0,0,0,0,0,0,0,0,1,1
NC_019673.1.region009,277,GCF_000328705,NC_019673.1.region009.gbk,0,0,0,0,0,1,0,0,0,1
NC_019678.1.region015,278,GCF_000316665,NC_019678.1.region015.gbk,0,0,0,1,0,0,0,0,0,1
NC_019682.1.region005,279,GCF_000316575,NC_019682.1.region005.gbk,0,0,1,0,0,0,0,0,0,1
NC_019693.1.region006,280,GCF_000317105,NC_019693.1.region006.gbk,0,0,0,1,0,0,0,0,0,1
NC_019695.1.region011,281,GCF_000317125,NC_019695.1.region011.gbk,0,0,1,0,0,0,0,0,0,1
NC_019738.1.region002,285,GCF_000317515,NC_019738.1.region002.gbk,0,0,1,0,0,0,0,0,0,1
NC_019695.1.region012,286,GCF_000317125,NC_019695.1.region012.gbk,0,0,0,1,0,0,0,0,0,1
NC_019746.1.region001,287,GCF_000317555,NC_019746.1.region001.gbk,0,0,0,0,0,0,1,0,0,1
NC_019751.1.region008,289,GCF_000317435,NC_019751.1.region008.gbk,0,0,0,1,0,0,0,0,0,1
NC_019757.1.region007,291,GCF_000317535,NC_019757.1.region007.gbk,0,0,0,1,0,0,0,0,0,1
NC_021149.1.region005,300,GCF_000380335,NC_021149.1.region005.gbk,1,0,0,1,0,0,0,0,1,3
NC_021658.1.region028,309,GCF_000418325,NC_021658.1.region028.gbk,0,0,1,0,0,0,0,0,0,1
NC_010162.1.region028,310,GCF_000067165,NC_010162.1.region028.gbk,0,0,0,1,0,0,0,0,0,1
NC_022049.1.region001,314,GCF_000444995,NC_022049.1.region001.gbk,0,0,0,0,0,0,0,0,1,1
NC_022349.1.region002,316,GCF_000354175,NC_022349.1.region002.gbk,0,0,0,0,0,1,0,0,0,1
NC_022571.1.region006,317,GCF_000473995,NC_022571.1.region006.gbk,0,0,1,0,0,0,0,0,0,1
NEED01000071.1.region001,323,GCA_002110465,NEED01000071.1.region001.gbk,0,0,0,1,0,0,0,0,0,1
NTJG01000002.1.region001,325,GCA_002324875,NTJG01000002.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
NZ_AADV02000001.1.region002,327,GCF_000167195,NZ_AADV02000001.1.region002.gbk,0,0,0,0,0,0,1,0,0,1
NZ_ABGR01000002.1.region002,329,GCF_000171815,NZ_ABGR01000002.1.region002.gbk,0,0,0,0,1,0,0,0,0,1
NZ_ACXX02000007.1.region002,331,GCF_000175795,NZ_ACXX02000007.1.region002.gbk,0,0,1,0,0,0,0,0,0,1
NZ_ACZP01000013.1.region001,335,GCF_000176175,NZ_ACZP01000013.1.region001.gbk,0,0,0,0,1,1,0,0,0,2
NC_019729.1.region005,337,GCF_000317475,NC_019729.1.region005.gbk,0,0,0,1,0,0,0,0,0,1
NZ_AJVC01000003.1.region001,345,GCF_000261365,NZ_AJVC01000003.1.region001.gbk,0,0,0,1,0,0,0,0,1,2
NZ_AKIZ01000035.1.region001,349,GCF_000282595,NZ_AKIZ01000035.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
NZ_ALVU02000001.1.region003,357,GCF_000332075,NZ_ALVU02000001.1.region003.gbk,0,0,0,1,0,0,0,0,0,1
NZ_AMWD01000002.1.region004,361,GCF_000335815,NZ_AMWD01000002.1.region004.gbk,0,0,0,1,0,0,0,0,1,2
NZ_AMXF01000001.1.region001,363,GCF_000310225,NZ_AMXF01000001.1.region001.gbk,0,0,0,1,0,0,0,0,1,2
NZ_ANAE01000096.1.region001,365,GCF_000341265,NZ_ANAE01000096.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NZ_ANCI01000003.1.region004,367,GCF_012932785,NZ_ANCI01000003.1.region004.gbk,0,0,0,1,0,0,0,0,0,1
NZ_AODO01000018.1.region001,368,GCF_000341795,NZ_AODO01000018.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
NZ_AOHO01000078.1.region001,370,GCF_000342005,NZ_AOHO01000078.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NZ_AP014637.1.region007,375,GCF_000829415,NZ_AP014637.1.region007.gbk,1,1,0,0,0,0,0,0,1,3
NZ_AP017423.2.region009,380,GCF_002356535,NZ_AP017423.2.region009.gbk,0,1,0,1,0,0,0,0,0,2
NC_019697.1.region008,381,GCF_000317145,NC_019697.1.region008.gbk,0,0,1,0,0,0,0,0,0,1
CU458896.1.region007,383,GCA_000069185,CU458896.1.region007.gbk,0,0,1,0,0,0,0,0,1,2
NZ_AP018172.1.region012,384,GCF_002368175,NZ_AP018172.1.region012.gbk,0,0,0,1,0,0,0,0,0,1
NZ_AP018195.1.region001,389,GCF_002368235,NZ_AP018195.1.region001.gbk,0,0,0,1,0,0,0,0,0,1
NZ_AP018227.1.region003,391,GCF_002368095,NZ_AP018227.1.region003.gbk,0,0,0,0,0,0,1,0,0,1
NZ_AP018227.1.region008,392,GCF_002368095,NZ_AP018227.1.region008.gbk,0,0,1,0,0,0,0,0,0,1
NZ_AP018178.1.region009,394,GCF_002368195,NZ_AP018178.1.region009.gbk,0,0,0,1,0,0,0,0,0,1
NZ_AP018933.1.region002,399,GCF_003610015,NZ_AP018933.1.region002.gbk,0,0,1,0,0,0,0,0,0,1
NZ_AP022333.1.region002,410,GCF_009936375,NZ_AP022333.1.region002.gbk,0,0,0,1,0,0,0,0,1,2
NZ_AP022561.1.region015,412,GCF_010726245,NZ_AP022561.1.region015.gbk,0,0,1,0,0,0,0,0,1,2
NZ_AP022870.1.region013,459,GCF_011764545,NZ_AP022870.1.region013.gbk,0,0,0,0,0,0,0,0,1,1
NZ_AP023189.1.region006,462,GCF_012767755,NZ_AP023189.1.region006.gbk,1,0,0,0,0,0,0,0,1,2
NZ_AP023348.1.region008,467,GCF_016861355,NZ_AP023348.1.region008.gbk,0,0,0,1,0,0,0,0,0,1
FCOH02000007.1.region001,474,GCA_001544595,FCOH02000007.1.region001.gbk,0,0,0,1,0,0,0,0,1,2
NZ_AHBZ03000023.1.region001,477,GCF_000238375,NZ_AHBZ03000023.1.region001.gbk,0,0,0,1,0,1,0,0,0,2
NZ_AQOR01000012.1.region001,478,GCF_009846755,NZ_AQOR01000012.1.region001.gbk,0,0,0,1,0,0,0,0,1,2
NZ_AQUZ01000009.1.region001,481,GCF_000372465,NZ_AQUZ01000009.1.region001.gbk,0,0,0,0,0,0,0,0,1,1
NZ_AQXC01000006.1.region001,483,GCF_000375525,NZ_AQXC01000006.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
NZ_AQYJ01000029.1.region001,484,GCF_000380565,NZ_AQYJ01000029.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NZ_ARVW01000001.1.region009,485,GCF_000384315,NZ_ARVW01000001.1.region009.gbk,0,0,0,0,0,1,0,0,0,1
NZ_ARVW01000001.1.region011,486,GCF_000384315,NZ_ARVW01000001.1.region011.gbk,0,0,0,0,0,0,0,0,1,1
NZ_ASJD01000009.1.region001,491,GCF_000691165,NZ_ASJD01000009.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
NZ_ASXP01000005.1.region002,493,GCF_000445445,NZ_ASXP01000005.1.region002.gbk,0,0,1,0,0,0,0,0,0,1
LS483371.1.region002,497,GCA_900475325,LS483371.1.region002.gbk,0,0,0,1,0,0,0,0,0,1
LS483371.1.region004,498,GCA_900475325,LS483371.1.region004.gbk,1,0,0,0,0,0,0,0,1,2
NZ_ATUD01000001.1.region003,500,GCF_000420025,NZ_ATUD01000001.1.region003.gbk,0,0,0,0,0,1,0,0,0,1
NZ_ATXN01000003.1.region001,501,GCF_000421705,NZ_ATXN01000003.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
NZ_AUBE01000005.1.region001,502,GCF_000429085,NZ_AUBE01000005.1.region001.gbk,0,0,1,0,0,0,0,0,1,2
DJJS01000006.1.region001,503,GCA_002434265,DJJS01000006.1.region001.gbk,1,0,0,1,0,0,0,0,0,2
NZ_AUGQ01000001.1.region001,506,GCF_000422745,NZ_AUGQ01000001.1.region001.gbk,0,0,0,0,0,1,0,0,1,2
NZ_AUKQ01000011.1.region001,507,GCF_000424825,NZ_AUKQ01000011.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NZ_AUXT01000162.1.region001,511,GCF_001625595,NZ_AUXT01000162.1.region001.gbk,0,0,0,1,0,1,0,0,0,2
NZ_AVFL01000011.1.region002,516,GCF_000576635,NZ_AVFL01000011.1.region002.gbk,0,0,0,0,0,1,0,0,0,1
NC_009937.1.region005,520,GCF_000010525,NC_009937.1.region005.gbk,0,0,0,0,0,0,0,0,1,1
NZ_AXWS01000013.1.region001,522,GCF_000482785,NZ_AXWS01000013.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
NZ_ANAC01000023.1.region001,532,GCF_000341225,NZ_ANAC01000023.1.region001.gbk,0,0,0,0,0,1,0,0,1,2
NZ_BAFP01000266.1.region001,537,GCF_000308455,NZ_BAFP01000266.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NC_016887.1.region011,542,GCF_000284035,NC_016887.1.region011.gbk,0,0,1,0,0,0,0,0,0,1
NZ_BAGD01000277.1.region001,548,GCF_000308635,NZ_BAGD01000277.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NZ_BATJ01000001.1.region001,562,GCF_000467125,NZ_BATJ01000001.1.region001.gbk,0,0,0,0,0,0,0,0,1,1
NC_018681.1.region004,563,GCF_000250675,NC_018681.1.region004.gbk,0,0,0,0,0,0,0,0,1,1
NZ_BBJC02000005.1.region001,567,GCF_000739715,NZ_BBJC02000005.1.region001.gbk,0,0,0,0,1,1,0,0,0,2
NZ_BBRX01000024.1.region001,572,GCF_000829675,NZ_BBRX01000024.1.region001.gbk,0,0,0,0,1,1,0,0,0,2
NZ_BBUL01000092.1.region002,573,GCF_000953825,NZ_BBUL01000092.1.region002.gbk,0,0,0,0,0,1,0,0,0,1
NZ_BBUY01000009.1.region001,575,GCF_001590865,NZ_BBUY01000009.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NZ_BBZB01000001.1.region002,583,GCF_001269985,NZ_BBZB01000001.1.region002.gbk,0,0,0,1,0,0,0,0,1,2
NZ_BCRN01000003.1.region001,595,GCF_001552615,NZ_BCRN01000003.1.region001.gbk,0,0,0,0,0,1,0,0,1,2
NZ_BAOG01000054.1.region001,600,GCF_000400365,NZ_BAOG01000054.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
NZ_BCUS01000004.1.region001,601,GCF_001591345,NZ_BCUS01000004.1.region001.gbk,0,0,0,1,0,0,0,0,1,2
NZ_BCWN01000005.1.region001,605,GCF_001592225,NZ_BCWN01000005.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
NZ_BCWW01000003.1.region002,607,GCF_001894785,NZ_BCWW01000003.1.region002.gbk,0,0,1,0,0,0,0,0,1,2
NC_008268.1.region015,608,GCF_000014565,NC_008268.1.region015.gbk,0,0,0,0,0,0,0,0,1,1
NZ_BCXB01000001.1.region002,609,GCF_001894885,NZ_BCXB01000001.1.region002.gbk,0,0,0,0,0,0,0,0,1,1
NZ_BCXH01000004.1.region001,611,GCF_001895005,NZ_BCXH01000004.1.region001.gbk,0,0,0,0,0,0,0,0,1,1
NC_020829.1.region003,619,GCF_000349845,NC_020829.1.region003.gbk,0,0,0,1,0,0,0,0,0,1
NZ_BDAP01000002.1.region003,622,GCF_001598915,NZ_BDAP01000002.1.region003.gbk,0,0,0,0,0,0,0,0,1,1
NZ_BDAX01000015.1.region001,630,GCF_001612665,NZ_BDAX01000015.1.region001.gbk,0,0,1,0,0,0,0,0,1,2
NZ_BDAY01000014.1.region001,631,GCF_001612685,NZ_BDAY01000014.1.region001.gbk,0,0,0,0,0,0,0,0,1,1
NZ_BDAZ01000032.1.region001,633,GCF_001612725,NZ_BDAZ01000032.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NZ_BDBA01000008.1.region001,634,GCF_001612745,NZ_BDBA01000008.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NZ_BDAX01000004.1.region001,637,GCF_001612665,NZ_BDAX01000004.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
NZ_BDBK01000011.1.region002,645,GCF_001612945,NZ_BDBK01000011.1.region002.gbk,0,0,0,0,0,1,0,0,0,1
NZ_BDBT01000022.1.region001,655,GCF_001613125,NZ_BDBT01000022.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NZ_BAFV01000013.1.region001,669,GCF_000308515,NZ_BAFV01000013.1.region001.gbk,0,0,0,0,0,0,0,0,1,1
NZ_BDDS01000003.1.region001,682,GCF_001653135,NZ_BDDS01000003.1.region001.gbk,0,0,1,0,0,0,0,0,1,2
NZ_BDFO01000001.1.region007,683,GCF_001748245,NZ_BDFO01000001.1.region007.gbk,0,0,0,0,0,1,0,0,0,1
NZ_BDUB01000001.1.region013,686,GCF_002218065,NZ_BDUB01000001.1.region013.gbk,0,0,0,1,0,0,0,0,0,1
NZ_BDUC01000003.1.region004,687,GCF_002218085,NZ_BDUC01000003.1.region004.gbk,0,0,1,0,0,0,1,0,0,2
NZ_BEGX01000028.1.region001,688,GCF_002583555,NZ_BEGX01000028.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NZ_BFAQ01000012.1.region001,698,GCF_002933855,NZ_BFAQ01000012.1.region001.gbk,0,0,1,0,1,1,0,0,0,3
NZ_BFAQ01000016.1.region001,699,GCF_002933855,NZ_BFAQ01000016.1.region001.gbk,0,0,1,0,0,0,0,0,0,1
NZ_AUFE01000015.1.region001,701,GCF_000426345,NZ_AUFE01000015.1.region001.gbk,0,0,0,1,0,0,0,0,1,2
NZ_BHZC01000001.1.region032,703,GCF_003865135,NZ_BHZC01000001.1.region032.gbk,0,0,1,0,0,0,0,0,0,1
NZ_BIXY01000008.1.region001,709,GCF_008326305,NZ_BIXY01000008.1.region001.gbk,0,0,0,1,0,0,0,0,0,1
NZ_BJMM01000002.1.region004,712,GCF_006539165,NZ_BJMM01000002.1.region004.gbk,0,0,1,0,0,0,0,0,0,1
NZ_BJNY01000002.1.region001,718,GCF_006539925,NZ_BJNY01000002.1.region001.gbk,0,0,0,0,0,1,0,0,1,2
NZ_BJOV01000005.1.region004,720,GCF_009932475,NZ_BJOV01000005.1.region004.gbk,0,0,0,0,0,1,0,0,1,2
NZ_BJXJ01000006.1.region001,723,GCF_007990935,NZ_BJXJ01000006.1.region001.gbk,0,0,0,0,0,1,0,0,0,1
NZ_BKZW01000004.1.region002,724,GCF_008974265,NZ_BKZW01000004.1.region002.gbk,0,0,0,1,0,0,0,0,0,1
NC_021505.1.region002,731,GCF_000412675,NC_021505.1.region002.gbk,1,0,0,1,0,0,0,0,0,2
NZ_BLJI01000001.1.region001,732,GCF_017312365,NZ_BLJI01000001.1.region001.gbk,0,0,0,0,0,0,1,0,0,1
NC_009439.1.region004,733,GCF_000016565,NC_009439.1.region004.gbk,0,0,0,1,0,0,0,0,1,2
NC_015953.1.region005,737,GCF_000177195,NC_015953.1.region005.gbk,0,0,1,0,0,0,0,0,0,1
NZ_BLPG01000001.1.region024,739,GCF_011764445,NZ_BLPG01000001.1.region024.gbk,0,0,0,0,0,0,0,0,1,1
NZ_BLZO01000082.1.region001,742,GCF_014132355,NZ_BLZO01000082.1.region001.gbk,0,0,0,1,0,0,0,0,0,1
