Total bacterial genomes analyzed: 59851
Bacterial genomes with at least one BGC: 50828
Bacterial genomes with at least one NRPS: 19758
Bacterial genomes with at least one NRP-metallophore: 4098

Phylum statistics sorted by abundance:
Phylum,total_genomes, with_bgc, with_nrps, with_nrp_metallophore, total_nrp_metallophore
Calditrichota, 18, 18, 12, 0, 0
UBP6, 18, 18, 17, 0, 0
Sumerlaeota, 18, 14, 1, 0, 0
Bacillota_H, 17, 14, 1, 0, 0
CSP1-3, 15, 10, 2, 0, 0
Fermentibacterota, 15, 14, 1, 0, 0
UBA3054, 13, 12, 12, 0, 0
CG03, 13, 7, 0, 0, 0
Delongbacteria, 11, 11, 6, 0, 0
DTU030, 10, 7, 0, 0, 0
UBA8248, 10, 10, 0, 0, 0
QNDG01, 10, 8, 2, 0, 0
Aerophobota, 9, 4, 0, 0, 0
Firestonebacteria, 8, 7, 0, 0, 0
CSSED10-310, 8, 8, 3, 0, 0
UBA9089, 7, 3, 1, 0, 0
Desulfobacterota_C, 7, 7, 0, 0, 0
UBP17, 7, 7, 3, 0, 0
UBP14, 7, 1, 0, 0, 0
JAAXHH01, 7, 7, 6, 0, 0
Goldbacteria, 7, 0, 0, 0, 0
Edwardsbacteria, 7, 3, 2, 0, 0
Thermosulfidibacterota, 6, 3, 0, 0, 0
CLD3, 6, 6, 1, 0, 0
Coprothermobacterota, 6, 0, 0, 0, 0
Ratteibacteria, 6, 0, 0, 0, 0
OLB16, 6, 6, 5, 0, 0
UBA6262, 5, 1, 0, 0, 0
SZUA-79, 5, 4, 0, 0, 0
RBG-13-66-14, 5, 5, 0, 0, 0
BMS3Abin14, 5, 4, 0, 0, 0
Tectomicrobia, 4, 4, 4, 0, 0
Schekmanbacteria, 4, 4, 0, 0, 0
SZUA-182, 4, 2, 0, 0, 0
JdFR-76, 4, 3, 0, 0, 0
Nitrospirota_A, 4, 4, 3, 0, 0
Moduliflexota, 3, 3, 3, 0, 0
Chrysiogenota, 3, 3, 1, 0, 0
Dictyoglomota, 3, 1, 0, 0, 0
JABDJQ01, 3, 3, 0, 0, 0
CAIJMQ01, 3, 3, 1, 0, 0
Mcinerneyibacteriota, 3, 3, 0, 0, 0
VGIX01, 3, 2, 2, 0, 0
UBP7, 3, 0, 0, 0, 0
Abyssobacteria, 3, 2, 0, 0, 0
UBP18, 3, 0, 0, 0, 0
FCPU426, 3, 3, 0, 0, 0
RBG-13-61-14, 3, 3, 0, 0, 0
Wallbacteria, 3, 3, 3, 0, 0
NPL-UPA2, 2, 1, 0, 0, 0
JACIXR01, 2, 2, 0, 0, 0
JABMQX01, 2, 1, 0, 0, 0
JAAXVQ01, 2, 2, 0, 0, 0
UBA6266, 2, 0, 0, 0, 0
UBP15, 2, 2, 0, 0, 0
CG2-30-53-67, 2, 2, 0, 0, 0
4484-113, 2, 0, 0, 0, 0
4572-55, 2, 2, 1, 0, 0
Lindowbacteria, 2, 2, 1, 0, 0
Thermodesulfobiota, 2, 0, 0, 0, 0
UBA2233, 2, 2, 0, 0, 0
Calescibacterota, 2, 2, 0, 0, 0
FEN-1099, 2, 1, 0, 0, 0
HKB111, 2, 2, 1, 0, 0
PUNC01, 2, 2, 0, 0, 0
DUMJ01, 2, 2, 0, 0, 0
T1Sed10-126, 2, 2, 2, 0, 0
TA06, 2, 1, 1, 0, 0
JACPWU01, 2, 2, 0, 0, 0
Nitrospinota_B, 2, 2, 0, 0, 0
JACPQY01, 2, 1, 0, 0, 0
Auribacterota, 2, 2, 0, 0, 0
SM23-31, 2, 1, 0, 0, 0
Desantisbacteria, 2, 2, 0, 0, 0
B130-G9, 2, 2, 0, 0, 0
UBA8481, 2, 2, 0, 0, 0
JACRDZ01, 2, 2, 0, 0, 0
JAFGBW01, 2, 2, 1, 0, 0
UBP4, 1, 1, 0, 0, 0
JACQOV01, 1, 0, 0, 0, 0
JADJOY01, 1, 1, 0, 0, 0
BS750m-G25, 1, 1, 0, 0, 0
BS750m-G34, 1, 1, 0, 0, 0
UBP13, 1, 0, 0, 0, 0
RUG730, 1, 1, 0, 0, 0
SLNR01, 1, 1, 0, 0, 0
GCA-2686955, 1, 1, 0, 0, 0
J088, 1, 1, 0, 0, 0
JACPSX01, 1, 1, 0, 0, 0
JACPUC01, 1, 1, 0, 0, 0
Nitrospirota_B, 1, 1, 0, 0, 0
GCA-001730085, 1, 1, 0, 0, 0
DUMD01, 1, 1, 0, 0, 0
T1SED10-198M, 1, 0, 0, 0, 0
TA06_A, 1, 1, 1, 0, 0
Muirbacteria, 1, 1, 1, 0, 0
Myxococcota_B, 1, 1, 0, 0, 0
JAFGND01, 1, 1, 0, 0, 0
JAGOBX01, 1, 1, 1, 0, 0
JAGOEH01, 1, 1, 0, 0, 0
JAHJDO01, 1, 1, 0, 0, 0
CG2-30-70-394, 1, 1, 0, 0, 0
UBA1439, 1, 0, 0, 0, 0
ARS69, 1, 1, 0, 0, 0

Six most abundant phyla in NRP-metallophore and their percentages:
Pseudomonadota: 2042 genomes, 49.83% of all NRP-metallophores, 12.35% of genomes in this phylum have at least one NRP-metallophore
Actinomycetota: 1561 genomes, 38.09% of all NRP-metallophores, 22.52% of genomes in this phylum have at least one NRP-metallophore
Bacillota: 191 genomes, 4.66% of all NRP-metallophores, 4.76% of genomes in this phylum have at least one NRP-metallophore
Cyanobacteriota: 176 genomes, 4.29% of all NRP-metallophores, 13.35% of genomes in this phylum have at least one NRP-metallophore
Myxococcota: 51 genomes, 1.24% of all NRP-metallophores, 12.20% of genomes in this phylum have at least one NRP-metallophore
Bacillota_A: 17 genomes, 0.41% of all NRP-metallophores, 0.21% of genomes in this phylum have at least one NRP-metallophore
