BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_000024385.1_ASM2438v1_genomic_NC_013510.1.region001	NC_013510.1	Thermomonospora curvata DSM 43183, complete sequence	NRP-siderophore.NRPS.lanthipeptide-class-iv	Others	Thermomonospora curvata DSM 43183	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Thermomonospora
GCF_000024545.1_ASM2454v1_genomic_NC_013947.1.region015	NC_013947.1	Stackebrandtia nassauensis DSM 44728, complete sequence	NRP-siderophore.NRPS	Others	Stackebrandtia nassauensis DSM 44728	Bacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Stackebrandtia
GCF_000024725.1_ASM2472v1_genomic_NC_013960.1.region003	NC_013960.1	Nitrosococcus halophilus Nc 4, complete sequence	NRP-siderophore.NRPS	Others	Nitrosococcus halophilus Nc 4	Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus
GCF_000024785.1_ASM2478v1_genomic_NC_013441.1.region002	NC_013441.1	Gordonia bronchialis DSM 43247, complete sequence	NRP-siderophore.NRPS-like.NRPS	Others	Gordonia bronchialis DSM 43247	Bacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia
GCF_000024805.1_ASM2480v1_genomic_NC_013440.1.region015	NC_013440.1	Haliangium ochraceum DSM 14365, complete sequence	NRP-siderophore.NRPS	Others	Haliangium ochraceum DSM 14365	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystineae,Kofleriaceae,Haliangium
GCF_000024865.1_ASM2486v1_genomic_NC_013595.1.region008	NC_013595.1	Streptosporangium roseum DSM 43021, complete sequence	NRP-siderophore.NRPS	Others	Streptosporangium roseum DSM 43021	Bacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Streptosporangium
GCF_000025065.1_ASM2506v1_genomic_NC_013592.1.region006	NC_013592.1	Dickeya parazeae Ech586, complete sequence	NRP-siderophore.NRPS	Others	Dickeya parazeae Ech586	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya,Dickeya parazeae
GCF_000046845.1_ASM4684v1_genomic_NC_005966.1.region006	NC_005966.1	Acinetobacter baylyi ADP1, complete sequence	NRP-siderophore.NRPS	Others	Acinetobacter baylyi ADP1	Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
GCF_000058485.1_ASM5848v1_genomic_NC_008278.1.region010	NC_008278.1	Frankia alni ACN14a, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Frankia alni ACN14a	Bacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia
GCF_000058485.1_ASM5848v1_genomic_NC_008278.1.region019	NC_008278.1	Frankia alni ACN14a, complete sequence	NRP-siderophore.NRPS	Others	Frankia alni ACN14a	Bacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia
GCF_000062885.1_ASM6288v1_genomic_NC_009142.1.region012	NC_009142.1	Saccharopolyspora erythraea NRRL 2338, complete sequence	NRP-siderophore.NRPS	Others	Saccharopolyspora erythraea NRRL 2338	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora
GCF_000062885.1_ASM6288v1_genomic_NC_009142.1.region015	NC_009142.1	Saccharopolyspora erythraea NRRL 2338, complete sequence	NRP-siderophore.NAPAA.NRPS.betalactone	Others	Saccharopolyspora erythraea NRRL 2338	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora
GCF_000067165.1_ASM6716v1_genomic_NC_010162.1.region018	NC_010162.1	Sorangium cellulosum So ce56, complete sequence	NRP-siderophore.NRPS	Others	Sorangium cellulosum So ce56	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
GCF_000067165.1_ASM6716v1_genomic_NC_010162.1.region033	NC_010162.1	Sorangium cellulosum So ce56, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Sorangium cellulosum So ce56	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
GCF_000091305.1_ASM9130v1_genomic_NC_013929.1.region001	NC_013929.1	Streptomyces scabiei 87.22, complete sequence	NRP-siderophore.NRPS	Others	Streptomyces scabiei 87.22	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_000091305.1_ASM9130v1_genomic_NC_013929.1.region033	NC_013929.1	Streptomyces scabiei 87.22, complete sequence	NRP-siderophore.melanin.NRPS	Others	Streptomyces scabiei 87.22	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_000092825.1_ASM9282v1_genomic_NC_014168.1.region004	NC_014168.1	Segniliparus rotundus DSM 44985, complete sequence	NRP-siderophore.NRPS.prodigiosin	Others	Segniliparus rotundus DSM 44985	Bacteria,Actinobacteria,Corynebacteriales,Segniliparaceae,Segniliparus
GCF_000092925.1_ASM9292v1_genomic_NC_014217.1.region004	NC_014217.1	Starkeya novella DSM 506, complete sequence	NRP-siderophore.NRPS	Others	Starkeya novella DSM 506	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Starkeya
GCF_000145945.2_ASM14594v2_genomic_NZ_CP042804.1.region005	NZ_CP042804.1	Pseudomonas amygdali pv. tabaci str. ATCC 11528 chromosome, complete genome	NRP-siderophore.NRPS	Others	Pseudomonas amygdali pv. tabaci str. ATCC 11528	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas amygdali
GCF_000147055.1_ASM14705v1_genomic_NC_014500.1.region004	NC_014500.1	Dickeya dadantii 3937, complete sequence	NRP-siderophore.NRPS	Others	Dickeya dadantii 3937	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya
GCF_000153205.1_ASM15320v1_genomic_NZ_CH672427.1.region001	NZ_CH672427.1	Nitrococcus mobilis Nb-231 scf_1099646003885, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Nitrococcus mobilis Nb-231	Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Nitrococcus
GCF_000153205.1_ASM15320v1_genomic_NZ_CH672427.1.region009	NZ_CH672427.1	Nitrococcus mobilis Nb-231 scf_1099646003885, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Nitrococcus mobilis Nb-231	Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Nitrococcus
GCF_000156995.2_ASM15699v2_genomic_NZ_CP046035.1.region005	NZ_CP046035.1	Pseudomonas coronafaciens pv. oryzae str. 1_6 chromosome, complete genome	NRP-siderophore.NRPS.hserlactone.acyl_amino_acids	Others	Pseudomonas coronafaciens pv. oryzae str. 1_6	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas coronafaciens
GCF_000157895.3_ASM15789v2_genomic_NC_022663.1.region003	NC_022663.1	Mycobacterium kansasii ATCC 12478, complete sequence	NRP-siderophore.NRPS	Others	Mycobacterium kansasii ATCC 12478	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_000157895.3_ASM15789v2_genomic_NC_022663.1.region004	NC_022663.1	Mycobacterium kansasii ATCC 12478, complete sequence	NRP-siderophore.NRPS	Others	Mycobacterium kansasii ATCC 12478	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_000158915.1_ASM15891v1_genomic_NZ_GG657754.1.region001	NZ_GG657754.1	Streptomyces himastatinicus ATCC 53653 supercont1.1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Streptomyces himastatinicus ATCC 53653	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
GCF_000158915.1_ASM15891v1_genomic_NZ_GG657754.1.region033	NZ_GG657754.1	Streptomyces himastatinicus ATCC 53653 supercont1.1, whole genome shotgun sequence	NRP-siderophore.NRPS-like.NRPS	Others	Streptomyces himastatinicus ATCC 53653	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
GCF_000158955.1_ASM15895v1_genomic_NZ_GG657757.1.region003	NZ_GG657757.1	Streptomyces viridochromogenes DSM 40736 supercont1.1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Streptomyces viridochromogenes DSM 40736	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_000161455.1_ASM16145v1_genomic_NZ_CM000745.1.region002	NZ_CM000745.1	Bacillus pseudomycoides DSM 12442 chromosome, whole genome shotgun sequence	NRP-siderophore.NRPS-like.NRPS	Others	Bacillus pseudomycoides DSM 12442	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group
GCF_000161615.1_ASM16161v1_genomic_NZ_CM000753.1.region004	NZ_CM000753.1	Bacillus thuringiensis serovar berliner ATCC 10792 chromosome, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Bacillus thuringiensis serovar berliner ATCC 10792	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group
GCF_000166135.1_ASM16613v1_genomic_NC_014666.1.region021	NC_014666.1	Frankia inefficax, complete sequence	NRP-siderophore.NRPS	Others	Frankia inefficax	Bacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia
GCF_000175375.1_ASM17537v1_genomic_NZ_ACSH02000002.1.region002	NZ_ACSH02000002.1	Corynebacterium matruchotii ATCC 14266 gcontig_1125149795840, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Corynebacterium matruchotii ATCC 14266	Bacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
GCF_000175795.2_ASM17579v2_genomic_NZ_ACXX02000007.1.region002	NZ_ACXX02000007.1	Ruminiclostridium papyrosolvens DSM 2782 ctg58, whole genome shotgun sequence	NRP-siderophore.NRPS-like.transAT-PKS.NRPS	Others	Ruminiclostridium papyrosolvens DSM 2782	Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminiclostridium
GCF_000176375.1_ASM17637v1_genomic_NZ_ADAF01000002.1.region002	NZ_ADAF01000002.1	Vibrio mimicus MB451 strain MB-451 Contig42, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Vibrio mimicus MB451	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
GCF_000176855.2_ASM17685v2_genomic_NC_015138.1.region006	NC_015138.1	Acidovorax avenae subsp. avenae ATCC 19860, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Acidovorax avenae subsp. avenae ATCC 19860	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
GCF_000184435.1_ASM18443v1_genomic_NC_014814.1.region004	NC_014814.1	Mycolicibacterium gilvum Spyr1, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycolicibacterium gilvum Spyr1	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GCF_000185725.2_Segn_rugo_CDC_945_V2_genomic_NZ_KI391954.1.region002	NZ_KI391954.1	Segniliparus rugosus ATCC BAA-974 acqcO-supercont2.2, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Segniliparus rugosus ATCC BAA-974	Bacteria,Actinobacteria,Corynebacteriales,Segniliparaceae,Segniliparus
GCF_000192865.1_ASM19286v1_genomic_NC_015276.1.region003	NC_015276.1	Marinomonas mediterranea MMB-1, complete sequence	NRP-siderophore.NRPS	Others	Marinomonas mediterranea MMB-1	Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas
GCF_000192865.1_ASM19286v1_genomic_NC_015276.1.region009	NC_015276.1	Marinomonas mediterranea MMB-1, complete sequence	NRP-siderophore	Others	Marinomonas mediterranea MMB-1	Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas
GCF_000196155.1_ASM19615v1_genomic_NC_005126.1.region012	NC_005126.1	Photorhabdus laumondii subsp. laumondii TTO1, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Photorhabdus laumondii subsp. laumondii TTO1	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Photorhabdus
GCF_000196355.1_ASM19635v1_genomic_NC_007614.1.region003	NC_007614.1	Nitrosospira multiformis ATCC 25196, complete sequence	NRP-siderophore.linaridin.NRPS.T1PKS	Others	Nitrosospira multiformis ATCC 25196	Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira
GCF_000196475.1_ASM19647v1_genomic_NC_012962.1.region004	NC_012962.1	Photorhabdus asymbiotica, complete sequence	RiPP-like.PUFA.NRPS.hglE-KS.NRP-siderophore	Others	Photorhabdus asymbiotica	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Photorhabdus
GCF_000196475.1_ASM19647v1_genomic_NC_012962.1.region013	NC_012962.1	Photorhabdus asymbiotica, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Photorhabdus asymbiotica	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Photorhabdus
GCF_000196675.2_ASM19667v2_genomic_NC_015312.1.region002	NC_015312.1	Pseudonocardia dioxanivorans CB1190, complete sequence	NRP-siderophore.NRPS	Others	Pseudonocardia dioxanivorans CB1190	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia
GCF_000196795.1_ASM19679v1_genomic_NC_014259.1.region003	NC_014259.1	Acinetobacter oleivorans DR1, complete sequence	NRP-siderophore.redox-cofactor.NRPS	Others	Acinetobacter oleivorans DR1	Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
GCF_000196875.2_ASM19687v2_genomic_NC_014532.2.region003	NC_014532.2	Halomonas elongata DSM 2581, complete sequence	NRP-siderophore.NRPS-like.NRPS	Others	Halomonas elongata DSM 2581	Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
GCF_000203895.1_ASM20389v1_genomic_NC_008686.1.region004	NC_008686.1	Paracoccus denitrificans PD1222 chromosome 1, complete sequence	NRP-siderophore.redox-cofactor	Others	Paracoccus denitrificans PD1222	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
GCF_000203895.1_ASM20389v1_genomic_NC_008687.1.region001	NC_008687.1	Paracoccus denitrificans PD1222 chromosome 2, complete sequence	NRP-siderophore.NRPS	Others	Paracoccus denitrificans PD1222	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
GCF_000214155.1_ASM21415v1_genomic_NC_015576.1.region002	NC_015576.1	Mycolicibacter sinensis, complete sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycolicibacter sinensis	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacter
