ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number","Oxygen tolerance"
2728,LQ8,"DSM 1313",0,"Acetivibrio thermocellus",1515.11,anaerobe
,,,,,2825454334,
,,,,,637887.3,
,,,,,650377924,
,,,,,GCA_000184925,
2730,LQR1,"DSM 2360, JCM 9323, ATCC 35609",0,"Acetivibrio thermocellus",572545.3,anaerobe
,,,,,572545.4,
,,,,,645058753,
,,,,,ACVX00000000,
,,,,,GCA_001692755,
2731,"JW 20","DSM 4150, ATCC 31549",0,"Acetivibrio thermocellus",492476.4,anaerobe
22965,YS,"DSM 25991",0,"Acetivibrio thermocellus",GCA_000255575,anaerobe
22966,AD2,"DSM 25992",0,"Acetivibrio thermocellus",GCA_000255615,anaerobe
,,,,,GCA_002564085,
131392,ST07-YE,"DSM 27512, JCM 19400",1,"Acetoanaerobium pronyense",1482736.4,anaerobe
,,,,,2913505501,
,,,,,GCA_017874355,
2717,HF,"DSM 519, ATCC 12662, CCUG 9281, JCM 1433, NCIMB 10654, BCRC 14485",1,"Acetoanaerobium sticklandii",499177.3,anaerobe
,,,,,649633033,
,,,,,FP565809,
,,,,,GCA_000196455,
2,,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,"Acetobacter aceti",2547132264,aerobe
,,,,,2784746776,
,,,,,887700.10,
,,,,,887700.6,
,,,,,887700.7,
,,,,,BABW00000000,
,,,,,BAMU00000000,
,,,,,GCA_000193495,
,,,,,GCA_000963905,
,,,,,GCA_004341595,
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,"Acetobacter cerevisiae",178900.5,"obligate aerobe"
,,,,,2724679583,
,,,,,GCA_001580535,
,,,,,LHZA00000000,
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,"Acetobacter malorum",178901.12,"obligate aerobe"
,,,,,2713897233,
,,,,,GCA_001580615,
,,,,,LHZC00000000,
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,"Acetobacter nitrogenifigens",1120919.3,aerobe
,,,,,1120919.6,
,,,,,2522572157,
,,,,,2927201423,
,,,,,AUBI00000000,
,,,,,BJYF00000000,
,,,,,GCA_000429165,
,,,,,GCA_007991375,
19,B13,"DSM 23926, CECT 5830, LMG 21952",1,"Acetobacter oeni",2829864053,"obligate aerobe"
,,,,,304077.8,
,,,,,304077.9,
,,,,,GCA_011516825,
,,,,,GCA_014196315,
8,,"DSM 4492, ATCC 12876, CCUG 18126, IMET 10752, LMD 31.3, LMG 1282, LMG 1583, NCIMB 8622, PDDCC 8809, KCTC 12329, JCM 7639, BCRC 11568, CCM 3610, ICMP 8809, IFO 13752, NBRC 13752, NCCB 31003, VTT E-042463",1,"Acetobacter orleanensis",104099.3,aerobe
,,,,,104099.5,
,,,,,104099.6,
,,,,,1231342.3,
,,,,,1313.6680,
,,,,,2728368908,
,,,,,2854545835,
,,,,,435.10,
,,,,,438.25,
,,,,,BAMY00000000,
11,,"DSM 11825, LTH 2458",1,"Acetobacter pomorum",2828617574,aerobe
,,,,,65959.23,
21,CWBI-B418,"DSM 18889, LMG 23690",1,"Acetobacter senegalensis",2728368907,"obligate aerobe"
,,,,,446692.4,
,,,,,GCA_001580995,
5409,"Z-4391, Z-S11","DSM 8239",1,"Acetobacterium bakii",2654587740,anaerobe
,,,,,52689.10,
,,,,,52689.11,
,,,,,GCA_001263355,
,,,,,GCA_008086625,
5410,MC,"DSM 11527",0,"Acetobacterium dehalogenans",1068975.11,anaerobe
,,,,,2513237154,
,,,,,GCA_000472665,
5407,"Z-4092, Z-B12","DSM 8237",1,"Acetobacterium paludosum",52693.4,anaerobe
,,,,,GCA_008086595,
5401,C,"DSM 1911, ATCC 43740, JCM 2380",1,"Acetobacterium wieringae",2690315663,anaerobe
,,,,,52694.3,
,,,,,GCA_001766835,
5402,,"DSM 1030, ATCC 29683, JCM 2381, WB 1",1,"Acetobacterium woodii",2512047040,anaerobe
,,,,,931626.3,
,,,,,GCA_000247605,
5978,Z-7288,"DSM 5501, ATCC 49924",1,"Acetohalobium arabaticum",574087.3,anaerobe
,,,,,648028002,
,,,,,GCA_000144695,
1580,P,"DSM 20664, ATCC 43122",1,"Acetomicrobium flavidum",2695420966,anaerobe
,,,,,49896.3,
17777,NGA,"DSM 13181, ATCC BAA 54, JCM 12221",1,"Acetomicrobium mobile",2509601011,anaerobe
,,,,,891968.3,"obligate anaerobe"
,,,,,CP003198,
,,,,,GCA_000266925,
17778,RWcit2,"DSM 13490, ACM 5076",1,"Acetomicrobium thermoterrenum",1120987.3,anaerobe
,,,,,2544872.3,"obligate anaerobe"
,,,,,2599185146,
,,,,,GCA_900107215,
17111,APO-1,"DSM 6540, ATCC 51454",1,"Acetonema longum",1009370.3,anaerobe
,,,,,651324002,
,,,,,GCA_000219125,
159212,N93,"DSM 106692, NCTC 14351, ATCC TSD-139",1,"Acholeplasma equirhinis",GCA_017052655,"facultative anaerobe"
156528,,"CCUG 62438, LMG 26852",1,"Achromobacter aegrifaciens",1287736.3,aerobe
,,,,,2900112703,
,,,,,GCA_902859735,
156530,,"CCUG 62440, LMG 26854",0,"Achromobacter aegrifaciens",1287736.4,aerobe
,,,,,2900120893,
,,,,,GCA_902859965,
140509,,"LMG 3411, CCUG 62454",1,"Achromobacter agilis",1353888.3,aerobe
,,,,,2882181859,
,,,,,GCA_900496965,
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,"Achromobacter aloeverae",2881412998,aerobe
,,,,,GCA_004121055,
130142,AU15230,"DSM 29601, CCUG 61966, LMG 26690",1,"Achromobacter animicus",1389935.3,aerobe
,,,,,2902242375,
,,,,,GCA_902859585,
156477,,"CCUG 61965, LMG 26689",0,"Achromobacter animicus",1389935.4,aerobe
,,,,,2900094115,
,,,,,GCA_902860025,
156478,,"CCUG 61967, LMG 26691",0,"Achromobacter animicus",1389935.5,aerobe
,,,,,2900137357,
,,,,,GCA_902860125,
156534,,"CCUG 62444, LMG 26857",1,"Achromobacter anxifer",1287737.4,aerobe
,,,,,GCA_903652925,
156535,,"CCUG 62445, LMG 26858",0,"Achromobacter anxifer",1287737.3,aerobe
,,,,,2902253905,
,,,,,GCA_902860145,
140506,,"LMG 3458, CCUG 62433",1,"Achromobacter deleyi",1353891.6,aerobe
,,,,,GCA_902859705,
136807,,"CIP 60.83, CCUG 61949, LMG 1860, JCM 20672, IAM 12595",0,"Achromobacter denitrificans",32002.37,aerobe
,,,,,CADIKP000000000,
,,,,,GCA_902859985,
134918,,"CIP 110711, LMG 26840, CCUG 62421",1,"Achromobacter dolens",1287738.5,aerobe
,,,,,2900088174,
,,,,,GCA_902859745,
156522,,"CCUG 62422, LMG 26841",0,"Achromobacter dolens",1287738.7,aerobe
,,,,,2900142850,
,,,,,GCA_902860115,
156523,,"CCUG 62423, LMG 26842",0,"Achromobacter dolens",1287738.6,aerobe
,,,,,2900106755,
,,,,,GCA_902859975,
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84",1,"Achromobacter insolitus",217204.13,aerobe
,,,,,217204.3,
,,,,,217204.5,
,,,,,2751185845,
,,,,,2855745187,
,,,,,GCA_001971645,
,,,,,GCA_002209555,
,,,,,GCA_902859615,
152561,,"CCUG 47056, LMG 5997",0,"Achromobacter insolitus",217204.15,aerobe
,,,,,GCA_902860175,
152562,,"CCUG 47058, LMG 6000",0,"Achromobacter insolitus",217204.14,aerobe
,,,,,GCA_902860165,
152564,,"CCUG 47060, LMG 6001",0,"Achromobacter insolitus",217204.16,aerobe
,,,,,GCA_902860205,
136698,,"CIP 110710, LMG 26845, CCUG 62426",1,"Achromobacter insuavis",1287735.15,aerobe
,,,,,GCA_902859645,
156525,,"CCUG 62427, LMG 26846",0,"Achromobacter insuavis",1287735.16,aerobe
,,,,,GCA_902860075,
140507,,"CCUG 62449, LMG 3441",1,"Achromobacter kerstersii",1353890.3,aerobe
,,,,,2921339674,
,,,,,GCA_902859595,
140854,,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219",1,"Achromobacter marplatensis",2770939588,aerobe
,,,,,470868.5,
,,,,,470868.6,
,,,,,GCA_003315095,
,,,,,GCA_902859635,
130143,,"DSM 29602, LMG 26685, CCUG 61961",1,"Achromobacter mucicolens",1389922.4,aerobe
,,,,,GCA_902859725,
156473,,"CCUG 61960, LMG 26684",0,"Achromobacter mucicolens",1389922.5,aerobe
,,,,,GCA_902860005,
156474,,"CCUG 61962, LMG 26686",0,"Achromobacter mucicolens",1389922.6,aerobe
,,,,,GCA_902860105,
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,"Achromobacter pestifer",1353889.3,aerobe
,,,,,2921347846,
,,,,,GCA_902859625,
156467,,"CCUG 61953, LMG 6103",0,"Achromobacter piechaudii",72556.20,aerobe
,,,,,GCA_902860185,
130144,,"DSM 29617, CCUG 61972, LMG 26696",1,"Achromobacter pulmonis",1389932.4,aerobe
,,,,,GCA_902859765,
156481,,"CCUG 61971, LMG 26788",0,"Achromobacter pulmonis",1389932.5,aerobe
,,,,,GCA_902860065,
156468,,"CCUG 61954, LMG 1864, JCM 20746, CDC B7076, GIFU 956, IAM 12687",0,"Achromobacter ruhlandii",72557.64,aerobe
,,,,,CADIKY000000000,
,,,,,GCA_902860035,
156469,,"CCUG 61955, LMG 3328, CIP 21.75",0,"Achromobacter ruhlandii",72557.65,aerobe
,,,,,GCA_902860085,
311,,"DSM 30031, ATCC 337, CCUG 228, NCTC 3233",0,"Achromobacter sp.",2814123178,aerobe
,,,,,32002.25,
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,"Achromobacter spanius",217203.10,aerobe
,,,,,217203.24,
,,,,,2802429335,
,,,,,GCA_002812705,
,,,,,GCA_902859605,
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082",1,"Achromobacter xylosoxidans",1216976.3,aerobe
,,,,,1216976.8,
,,,,,2558309085,
,,,,,2667527485,
,,,,,2731957707,
,,,,,85698.244,
,,,,,85698.28,
,,,,,BCZG00000000,
,,,,,CP006958,
,,,,,GCA_000508285,
300,,"DSM 26050, CCUG 48584",0,"Achromobacter xylosoxidans subsp. xylosoxidans",85698.299,aerobe
17960,,"DSM 2784, Glu 65",1,"Acidaminobacter hydrogenoformans",1120920.3,anaerobe
,,,,,2599185234,
,,,,,GCA_900103005,
98,VR4,"CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,"Acidaminococcus fermentans",591001.3,anaerobe
,,,,,646311901,
,,,,,GCA_000025305,
,,,,,GCA_020735645,
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,"Acidaminococcus intestini",1120921.3,anaerobe
,,,,,2524614855,"obligate anaerobe"
,,,,,AULA00000000,
,,,,,GCA_000425045,
16643,,"DSM 3772, JCM 9191, LEI 10",1,"Acidianus ambivalens",CP045482,anaerobe
,,,,,GCA_009428885,
,,,,,WHYS00000000,
16642,So4a,"DSM 3191, NBRC 106462, JCM 8955, IFO 15270, NBRC 15270",1,"Acidianus infernus",GCA_009729545,anaerobe
,,,,,WFIY00000000,
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,"Acidibrevibacterium fodinaquatile",2841042143,"obligate aerobe"
,,,,,CP029176,
,,,,,CP029177,
,,,,,CP029178,
,,,,,CP029179,
,,,,,GCA_003352165,
6149,V6,"DSM 14174, JCM 32253",1,"Acidihalobacter aeolianus",160660.18,aerobe
,,,,,160660.9,
,,,,,CP017448,
,,,,,GCA_001753165,
24820,V8,"DSM 14175, JCM 32254",1,"Acidihalobacter ferrooxydans",1765967.4,aerobe
,,,,,2751185721,
,,,,,CP019434,
,,,,,GCA_001975725,
17800,345-15,"DSM 16705, JCM 18335, VKM B-2471",1,"Acidilobus saccharovorans",648028003,anaerobe
,,,,,CP001742,
,,,,,GCA_000144915,
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,"Acidimangrovimonas sediminis",2833082749,aerobe
,,,,,GCA_002871005,
,,,,,PHSN00000000,
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,"Silvibacterium dinghuense",1560006.5,aerobe
,,,,,2882000052,
,,,,,GCA_004123295,
,,,,,GCA_014640355,
12633,14X,"DSM 4900, ATCC 25562, VPI 0399",1,"Acidipropionibacterium acidipropionici",1111734.3,anaerobe
,,,,,2513237117,
,,,,,GCA_000427845,
12634,4,"DSM 20272, ATCC 4875, NCDO 570, NCIB 8070, JCM 6432, IFO 12425, NBRC 12425, NCIMB 8070, VPI 10402",0,"Acidipropionibacterium acidipropionici",1171373.8,"obligate anaerobe"
,,,,,2518285597,
,,,,,2521172602,
,,,,,CP003493,
,,,,,GCA_000310065,
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,"Acidipropionibacterium jensenii",1122997.3,anaerobe
,,,,,2523533551,
,,,,,GCA_000425285,
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,"Acidipropionibacterium thoenii",1122998.3,anaerobe
,,,,,2523231069,microaerophile
,,,,,AUHZ00000000,
,,,,,GCA_000423445,
158421,JS278,"DSM 106790, VTT E-113202",1,"Acidipropionibacterium virtanenii",2834914592,aerobe
,,,,,GCA_003325455,anaerobe
67,HS-AP3,"DSM 16009, JCM 10600",1,"Acidisphaera rubrifaciens",1231350.12,aerobe
,,,,,BANB00000000,
,,,,,GCA_000964365,
160797,MG,"DSM 107098, JCM 33084",1,"Acidithiobacillus ferrianus",2895580592,"facultative anaerobe"
,,,,,GCA_010378095,
,,,,,WNJL00000000,
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,"Acidithiobacillus ferridurans",1232575.20,"facultative anaerobe"
,,,,,1232575.4,
,,,,,1232575.7,
,,,,,2824077352,
,,,,,AP018795,
,,,,,GCA_003966655,
,,,,,GCA_018854555,
132357,M20,"DSM 100412, JCM 30830",1,"Acidithiobacillus ferriphilus",1689834.8,"facultative anaerobe"
,,,,,GCA_018854775,
159192,CJ-2,"DSM 105150, KCTC 4683",1,"Acidithiobacillus sulfuriphilus",1867749.3,aerobe
,,,,,2840828123,"obligate aerobe"
,,,,,GCA_003721225,
,,,,,RIZI00000000.1,
,,,,,RIZI01000000,
133033,PMMR2,"DSM 27394, LMG 28340",1,"Acidobacterium ailaaui",2558860986,aerobe
,,,,,GCA_000688455,
2900,,"DSM 16745, CFBP 3232, CCUG 64016, CIP 107058",1,"Acidovorax anthurii",2636415976,aerobe
,,,,,78229.3,
2903,R-24608,"DSM 19327, LMG 24103",1,"Acidovorax caeni",2634166357,"facultative aerobe"
,,,,,2740892283,
,,,,,343013.6,
,,,,,GCA_001298675,
,,,,,GCA_900116825,
2898,,"DSM 12644, CIP 106824, CCUG 49021, BSB 411",1,"Acidovorax defluvii",2756170235,aerobe
,,,,,86669.4,
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,"Acidovorax kalamii",2839292028,aerobe
,,,,,GCA_002245625,
2905,N35,"DSM 23535, LMG 25767",1,"Acidovorax radicis",2547132374,aerobe
,,,,,999386.3,
,,,,,GCA_000204195,
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,"Acidovorax soli",2675903230,aerobe
,,,,,592050.4,anaerobe
,,,,,FNQJ00000000,
,,,,,GCA_900107605,
23868,"NF 1078","DSM 27981, CCUG 62584, LMG 26971",1,"Acidovorax wautersii",1177982.3,aerobe
,,,,,2634166330,
,,,,,GCA_900113035,
23434,T469,"DSM 19572",1,"Aciduliprofundum boonei",646564501,anaerobe
,,,,,GCA_000025665,
,,,,,GCA_000151085,
134783,,"CIP 110436, NIPH 528, CCM 7290, LMG 10541, RUH 134, CCUG 60612",0,"Acinetobacter baumannii",1217636.3,aerobe
,,,,,2529293010,
,,,,,GCA_000369285,
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,"Acinetobacter baylyi",1120924.3,aerobe
,,,,,1120924.5,
,,,,,2556921654,
,,,,,2565956683,
,,,,,GCA_000368685,
,,,,,GCA_000621045,
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,"Acinetobacter beijerinckii",1217648.3,aerobe
,,,,,2565956701,
,,,,,262668.4,
,,,,,2671180604,
,,,,,APQL00000000,
,,,,,BBTL00000000,
,,,,,GCA_000369005,
,,,,,GCA_000931715,
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702",1,"Acinetobacter bereziniae",1217650.3,aerobe
,,,,,2547132297,
,,,,,2565956640,
,,,,,981324.3,
,,,,,GCA_000248295,
,,,,,GCA_000368925,
130455,,"DSM 100419, JCM 18977, KCTC 42081, LMG 28467, NCCP 644, CCUG 69707",0,"Acinetobacter bohemicus",1435036.7,aerobe
,,,,,FOZU00000000,
,,,,,GCA_008802275,
8131,4BO2,"CCUG 50766, DSM 14964, CIP 107468, JCM 18991, CCM 7196, GTC 3697, KCTC 12414, NBRC 112580",1,"Acinetobacter bouvetii",1120925.3,aerobe
,,,,,1120925.4,
,,,,,202951.3,
,,,,,202951.7,
,,,,,2517093005,
,,,,,2565956682,
,,,,,2660238193,
,,,,,APQD00000000,
,,,,,AREL00000000,
,,,,,BCMB00000000,
8140,5YN5-8,"DSM 18516, CIP 110357, KACC 11602, CCUG 61636",1,"Acinetobacter brisouii",1341683.3,aerobe
,,,,,1341683.5,
,,,,,2579778708,
,,,,,2657245517,
,,,,,GCA_000488275,
,,,,,GCA_000931655,
155464,,"CCUG 57816, LMG 10517",0,"Acinetobacter calcoaceticus",575585.3,aerobe
140537,,"CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573, DSM 107593, NIPH 2036",1,"Acinetobacter colistiniresistens",1217696.3,aerobe
,,,,,2565956665,
,,,,,GCA_000413935,
139534,,"CIP 110480, NIPH 3623, ANC 3623, CCUG 67960, CCM 8635",1,"Acinetobacter courvalinii",1217698.3,aerobe
,,,,,2565956649,"obligate aerobe"
,,,,,280147.3,
,,,,,280147.4,
,,,,,GCA_000369785,
,,,,,GCA_008802255,
,,,,,GCA_014635545,
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,"Acinetobacter defluvii",2767802242,"obligate aerobe"
,,,,,GCA_001704615,
133175,JVAP01,"CECT 9134, LMG 29605",1,"Acinetobacter lactucae",2690315737,aerobe
,,,,,GCA_001595745,
139491,,"CIP 110481, NIPH 1867, CCUG 34437",0,"Acinetobacter dispersus",1217702.3,aerobe
,,,,,2565956659,
,,,,,GCA_000369545,
140912,114,"CCUG 65204, DSM 27228",1,"Acinetobacter equi",1324350.3,aerobe
,,,,,2648501117,
,,,,,GCA_001307195,
130452,"UG 60467","CCUG 68482, DSM 28097, ANC 4275, LMG 27960",1,"Acinetobacter gandensis",1443941.6,aerobe
,,,,,GCA_008802205,
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250",1,"Acinetobacter guillouiae",106649.19,aerobe
,,,,,1217655.3,
,,,,,2565956705,
,,,,,GCA_000368145,
,,,,,GCA_008802215,
136752,,"CIP 110451, NIPH 230, CCUG 56138",0,"Acinetobacter gyllenbergii",1217658.3,aerobe
,,,,,2565956703,
,,,,,GCA_000488195,
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702",1,"Acinetobacter indicus",1341679.3,aerobe
,,,,,1341679.5,
,,,,,2579779046,
,,,,,2663763131,
,,,,,GCA_000488255,
,,,,,GCA_000830155,
131299,1NM-4,"DSM 100979, CCTCC AB 2014199, GIMCC 1.656, KCTC 42012, CCUG 69701",0,"Acinetobacter indicus",2916672942,aerobe
,,,,,756892.24,
,,,,,GCA_002174105,
8088,3865/60,"DSM 6963, ATCC 17909, CIP 64.6, NCTC 10308, CCUG 19095, NCTC 12154",1,"Acinetobacter johnsonii",1217663.3,aerobe
,,,,,1217663.8,
,,,,,2537561556,
,,,,,2657245534,
,,,,,40214.15,
,,,,,40214.169,
,,,,,40214.29,
,,,,,40214.47,
,,,,,GCA_000368045,
,,,,,GCA_000949655,
155468,,"CCUG 57820",0,"Acinetobacter johnsonii",575586.4,aerobe
8087,17AO4,"CCUG 50767, DSM 14968, CIP 107470",0,"Acinetobacter junii",1217666.3,aerobe
,,,,,1217666.5,
,,,,,2534682023,
,,,,,GCA_000368665,
,,,,,GCA_000430225,
155469,,"CCUG 57821",0,"Acinetobacter junii",575587.3,aerobe
133403,BRTC-1,"ACCC 19936, JCM 31367",1,"Acinetobacter larvae",1789224.3,aerobe
,,,,,2767802241,
,,,,,CP016895,
,,,,,GCA_001704115,
139606,,"CIP 70.31, ATCC 9957, CCUG 61662, LMG 985, CNCTC Mi 3/65",0,"Acinetobacter lwoffii",1217667.3,aerobe
,,,,,2534682025,
,,,,,GCA_000369125,
155467,,"CCUG 57819",0,"Acinetobacter lwoffii",575588.3,aerobe
163942,GC2,"JCM 31073, DSM 26953",1,"Acinetobacter mesopotamicus",1538357.4,"obligate aerobe"
,,,,,JAALFF000000000,
,,,,,JAALFF010000000,
139492,,"CIP 110444, NIPH 236, CCUG 67964, CCM 8639",1,"Acinetobacter modestus",1217711.3,aerobe
,,,,,1776740.3,"obligate aerobe"
,,,,,2565956686,
,,,,,GCA_000367965,
,,,,,GCA_014636095,
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,"Acinetobacter nectaris",1392540.3,aerobe
,,,,,2582580904,
,,,,,GCA_000488215,
132120,,"DSM 102856, CCM 7791, CNCTC 7433, LMG 10619, NIPH 2119, CCUG 61663, RUH 2376",1,"Acinetobacter nosocomialis",106654.22,aerobe
,,,,,106654.265,
,,,,,1217670.3,
,,,,,2537561557,
,,,,,2671180619,
,,,,,GCA_000368085,
,,,,,GCA_000836055,
155465,,"CCUG 57817, LMG 10617",0,"Acinetobacter nosocomialis",575564.3,aerobe
157136,,"CCUG 69705, KCTC 23045, JCM 16667",0,"Acinetobacter oleivorans",1148157.7,aerobe
,,,,,2663763040,
,,,,,CP002080,
,,,,,GCA_000836035,
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,"Acinetobacter piscicola",2791355509,aerobe
,,,,,GCA_002233755,"facultative anaerobe"
,,,,,NIFO00000000,
8146,,"CCUG 61664, NCDC KC739, DSM 25618, ATCC 19004, CIP 70.29, LMG 1035, NIPH 519, RUH 2206",1,"Acinetobacter pittii",1217672.3,aerobe
,,,,,2537561555,
,,,,,2667527755,
,,,,,48296.27,
,,,,,48296.505,
,,,,,GCA_000369045,
,,,,,GCA_000836015,
155466,,"CCUG 57818",0,"Acinetobacter pittii",575565.3,aerobe
157137,,"KCTC 42611, CCUG 69708",0,"Acinetobacter plantarum",40215.113,aerobe
,,,,,GCA_012271855,
139427,,"CIP 110482, NIPH 809, CCUG 14818, CCUG 67965, CCM 8640",1,"Acinetobacter proteolyticus",1217713.3,aerobe
,,,,,2565956687,"obligate aerobe"
,,,,,GCA_000367945,
164465,S23,"JCM 33150, KACC 19921",1,"Acinetobacter pullicarnis",GCA_006352475,"obligate aerobe"
,,,,,VCMZ00000000,
8096,FO-1,"DSM 6976, ATCC 43998, IAM 13186, CCUG 56440, CIP 103788, LMG 10613, JCM 9326, NBRC 102413, NCIMB 12753",1,"Acinetobacter radioresistens",2529293101,aerobe
,,,,,2531839506,
,,,,,2547132307,
,,,,,981334.10,
,,,,,981334.20,
,,,,,981334.3,
,,,,,981334.4,
,,,,,981334.6,
,,,,,981334.8,
,,,,,981334.9,
155470,,"CCUG 57822",0,"Acinetobacter radioresistens",575589.3,aerobe
8147,G30,"DSM 24031, CCUG 57889, CECT 7818, LMG 26107",1,"Acinetobacter rudis",2671181009,aerobe
,,,,,632955.6,
,,,,,GCA_000829675,
8134,,"DSM 16038, CNCTC 6736, LMG 19576, NIPH 1034, CCUG 45560, KCTC 12409, CIP 107287",1,"Acinetobacter schindleri",1217988.3,aerobe
,,,,,2565956681,
,,,,,GCA_000368625,
